MPI,OMP,Total Cores,C64_200,C128_200,C256_200
1,1,1,2360.47,2355.56,2355.78
,2,2,2340.87,2332.28,2336.71
,4,4,2447.71,2436.97,2436.91
,8,8,2443.52,2451.36,2433.19
2,1,2,1248.34,1248.75,1248.04
,2,4,1322.62,1320.21,1318.44
,4,8,1230.46,1230.59,1230.45
,8,16,1224.29,1227.82,1223.4
4,1,4,664.921,665.768,664.862
,2,8,619.557,620.587,619.54
,4,16,616.966,616.879,616.751
,8,32,615.633,617.799,615.28
8,1,8,336.447,336.083,334.269
,2,16,332.351,333.55,332.558
,4,32,332.01,331.697,331.525
,8,64,323.054,323.412,321.826
16,1,16,160.825,160.8,160.995
,2,32,159.335,159.038,159.031
,4,64,158.222,158.289,158.408
,8,128,162.11,163.611,163.705
